PassengerId,Survived,Age,SibSp,Parch,Fare,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3
17,0,2.0,4,1,29.125,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
18,1,32.06649305006158,0,0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
19,0,31.0,1,0,18.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
20,1,29.518205142080145,0,0,7.225,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21,0,35.0,0,0,26.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
22,1,34.0,0,0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
23,1,15.0,0,0,8.0292,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
24,1,28.0,0,0,35.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
25,0,8.0,3,1,21.075,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
26,1,38.0,1,5,31.3875,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
27,0,29.518205142080145,0,0,7.225,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
28,0,19.0,3,2,263.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
29,1,22.380113238826777,0,0,7.8792,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
30,0,27.947206162930836,0,0,7.8958,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
31,0,40.0,0,0,27.7208,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
32,1,36.10888155555557,1,0,146.5208,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
33,1,35.29582429902352,0,0,7.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
34,0,66.0,0,0,10.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
35,0,28.0,1,0,82.1708,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
36,0,42.0,1,0,52.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
37,1,22.876306861888096,0,0,7.2292,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
38,0,21.0,0,0,8.05,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
39,0,18.0,2,0,18.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
40,1,14.0,1,0,11.2417,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
41,0,40.0,1,0,9.475,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
42,0,27.0,1,0,21.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
43,0,27.947206162930836,0,0,7.8958,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
44,1,3.0,1,2,41.5792,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
45,1,19.0,0,0,7.8792,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
46,0,30.70572677927052,0,0,8.05,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
47,0,33.1283186868687,1,0,15.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
48,1,35.29582429902352,0,0,7.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
49,0,23.458620833333335,2,0,21.6792,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
50,0,18.0,1,0,17.8,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
51,0,7.0,4,1,39.6875,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
52,0,21.0,0,0,7.8,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
53,1,49.0,1,0,76.7292,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
54,1,29.0,1,0,26.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
55,0,65.0,0,1,61.9792,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
56,1,44.064830357142846,0,0,35.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
57,1,21.0,0,0,10.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
58,0,28.5,0,0,7.2292,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
59,1,5.0,1,2,27.75,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
60,0,11.0,5,2,46.9,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
61,0,22.0,0,0,7.2292,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
62,1,38.0,0,0,80.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
63,0,45.0,1,0,83.475,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
64,0,4.0,3,2,27.9,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
65,0,41.200088477638616,0,0,27.7208,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
66,1,17.090249285714286,1,1,15.2458,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
67,1,29.0,0,0,10.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
68,0,19.0,0,0,8.1583,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
69,1,17.0,4,2,7.925,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
70,0,26.0,2,0,8.6625,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
71,0,32.0,0,0,10.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
72,0,16.0,5,2,46.9,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
73,0,21.0,0,0,73.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
74,0,26.0,1,0,14.4542,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
75,1,32.0,0,0,56.4958,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
76,0,25.0,0,0,7.65,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
77,0,27.947206162930836,0,0,7.8958,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
78,0,30.70572677927052,0,0,8.05,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
79,1,0.83,0,2,29.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
80,1,30.0,0,0,12.475,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
81,0,22.0,0,0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
82,1,29.0,0,0,9.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
83,1,23.322627388583673,0,0,7.7875,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
84,0,28.0,0,0,47.1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
85,1,17.0,0,0,10.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
86,1,33.0,3,0,15.85,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
87,0,16.0,1,3,34.375,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
88,0,30.70572677927052,0,0,8.05,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
89,1,23.0,3,2,263.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
90,0,24.0,0,0,8.05,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
91,0,29.0,0,0,8.05,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
92,0,20.0,0,0,7.8542,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
93,0,46.0,1,0,61.175,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
94,0,26.0,1,2,20.575,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
95,0,59.0,0,0,7.25,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
96,0,30.70572677927052,0,0,8.05,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
97,0,71.0,0,0,34.6542,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
98,1,23.0,0,1,63.3583,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
99,1,34.0,0,1,23.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
100,0,34.0,1,0,26.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
101,0,28.0,0,0,7.8958,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
102,0,27.947206162930836,0,0,7.8958,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
103,0,21.0,0,1,77.2875,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
104,0,33.0,0,0,8.6542,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
105,0,37.0,2,0,7.925,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
106,0,28.0,0,0,7.8958,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
107,1,21.0,0,0,7.65,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
108,1,27.51545426285116,0,0,7.775,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
109,0,38.0,0,0,7.8958,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
110,1,33.54315507564331,1,0,24.15,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
111,0,47.0,0,0,52.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
112,0,14.5,1,0,14.4542,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
113,0,22.0,0,0,8.05,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
114,0,20.0,1,0,9.825,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
115,0,17.0,0,0,14.4583,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
116,0,21.0,0,0,7.925,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
117,0,70.5,0,0,7.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
118,0,29.0,1,0,21.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
119,0,24.0,0,1,247.5208,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
120,0,2.0,4,2,31.275,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
121,0,21.0,2,0,73.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
122,0,30.70572677927052,0,0,8.05,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
123,0,32.5,1,0,30.0708,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
124,1,32.5,0,0,13.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
125,0,54.0,0,1,77.2875,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
126,1,12.0,1,0,11.2417,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
127,0,35.29582429902352,0,0,7.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
128,1,24.0,0,0,7.1417,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
129,1,25.793501984126994,1,1,22.3583,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
130,0,45.0,0,0,6.975,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
131,0,33.0,0,0,7.8958,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
132,0,20.0,0,0,7.05,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
133,0,47.0,1,0,14.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
134,1,29.0,1,0,26.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
135,0,25.0,0,0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
136,0,23.0,0,0,15.0458,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
137,1,19.0,0,2,26.2833,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
138,0,37.0,1,0,53.1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
139,0,16.0,0,0,9.2167,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
140,0,24.0,0,0,79.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
141,0,25.344408333333334,0,2,15.2458,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
142,1,22.0,0,0,7.75,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
143,1,24.0,1,0,15.85,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
144,0,19.0,0,0,6.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
145,0,18.0,0,0,11.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
146,0,19.0,1,1,36.75,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
147,1,27.0,0,0,7.7958,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
148,0,9.0,2,2,34.375,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
149,0,36.5,0,2,26.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
150,0,42.0,0,0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
151,0,51.0,0,0,12.525,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
152,1,22.0,1,0,66.6,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
153,0,55.5,0,0,8.05,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
154,0,40.5,0,2,14.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
155,0,29.78279612980004,0,0,7.3125,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
156,0,51.0,0,1,61.3792,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
157,1,16.0,0,0,7.7333,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
158,0,30.0,0,0,8.05,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
159,0,25.52340334377312,0,0,8.6625,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
160,0,10.869866956654466,8,2,69.55,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
161,0,44.0,0,1,16.1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
162,1,40.0,0,0,15.75,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
163,0,26.0,0,0,7.775,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
164,0,17.0,0,0,8.6625,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
165,0,1.0,4,1,39.6875,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
166,1,9.0,0,2,20.525,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
167,1,26.031882142857135,0,1,55.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
168,0,45.0,1,4,27.9,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
169,0,49.554275595238074,0,0,25.925,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
170,0,28.0,0,0,56.4958,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
171,0,61.0,0,0,33.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
172,0,4.0,4,1,29.125,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
173,1,1.0,1,1,11.1333,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
174,0,21.0,0,0,7.925,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
175,0,56.0,0,0,30.6958,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
176,0,18.0,1,1,7.8542,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
177,0,7.325034541847046,3,1,25.4667,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
178,0,50.0,0,0,28.7125,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
179,0,30.0,0,0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
180,0,36.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
181,0,10.869866956654466,8,2,69.55,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
182,0,31.718940476190475,0,0,15.05,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
183,0,9.0,4,2,31.3875,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
184,1,1.0,2,1,39.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
185,1,4.0,0,2,22.025,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
186,0,46.2497682359308,0,0,50.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
187,1,33.1283186868687,1,0,15.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
188,1,45.0,0,0,26.55,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
189,0,40.0,1,1,15.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
190,0,36.0,0,0,7.8958,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
191,1,32.0,0,0,13.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
192,0,19.0,0,0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
193,1,19.0,1,0,7.8542,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
194,1,3.0,1,1,26.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
195,1,44.0,0,0,27.7208,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
196,1,58.0,0,0,146.5208,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
197,0,35.29582429902352,0,0,7.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
198,0,42.0,0,1,8.4042,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
199,1,35.29582429902352,0,0,7.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
200,0,24.0,0,0,13.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
201,0,28.0,0,0,9.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
202,0,10.869866956654466,8,2,69.55,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
203,0,34.0,0,0,6.4958,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
204,0,45.5,0,0,7.225,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
205,1,18.0,0,0,8.05,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
206,0,2.0,0,1,10.4625,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
207,0,32.0,1,0,15.85,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
208,1,26.0,0,0,18.7875,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
209,1,16.0,0,0,7.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
210,1,40.0,0,0,31.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
211,0,24.0,0,0,7.05,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
212,1,35.0,0,0,21.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
213,0,22.0,0,0,7.25,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
214,0,30.0,0,0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
215,0,31.09342985049901,1,0,7.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
216,1,31.0,1,0,113.275,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
217,1,27.0,0,0,7.925,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
218,0,42.0,1,0,27.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
219,1,32.0,0,0,76.2917,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
220,0,30.0,0,0,10.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
221,1,16.0,0,0,8.05,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
222,0,27.0,0,0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
223,0,51.0,0,0,8.05,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
224,0,27.947206162930836,0,0,7.8958,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
225,1,38.0,1,0,90.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
226,0,22.0,0,0,9.35,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
227,1,19.0,0,0,10.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
228,0,20.5,0,0,7.25,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
229,0,18.0,0,0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
230,0,7.325034541847046,3,1,25.4667,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
231,1,35.0,1,0,83.475,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
232,0,29.0,0,0,7.775,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
233,0,59.0,0,0,13.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
234,1,5.0,4,2,31.3875,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
235,0,24.0,0,0,10.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
236,0,31.108384523809526,0,0,7.55,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
237,0,44.0,1,0,26.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
238,1,8.0,0,2,26.25,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
239,0,19.0,0,0,10.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
240,0,33.0,0,0,12.275,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
241,0,20.800154130591647,1,0,14.4542,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
